Битола	Уп I бр.29-753/15	"ДПТУ ""КАРАЧИ увоз-извоз с.Сопотница Демир Хисар ДООЕЛ""с. Сопотница Демир Хисар"	(41.0316005, 21.3302511)	41.0316005	21.3302511
Богданци	29-12114/3	ДПТУУ "ДЕХРИ" ДООЕЛ	(41.201607, 22.577652)	41.201607	22.577652
Валандово	"29-5547/229-16049/316-930/17"	ДПTУ "ВИЗБА ВАЛАНДОВО" ДООЕЛ	(41.3173419, 22.5619765)	41.3173419	22.5619765
Велес	08-5885/2	"ДПТУ ""ММ ИНВЕСТМЕНТ"" ДОО Подружница Винарска визба Лозар Велес"	(41.718869, 21.7705695)	41.718869	21.7705695
Велес	08-5986/3	ДОО "АГРО НИКОЛОВ"	(46.3144754, 11.0480288)	46.3144754	11.0480288
Велес	29 - 6265/5	"Тристо Винарија" ДООЕЛ	(46.3144754, 11.0480288)	46.3144754	11.0480288
Велес	29-2911/2	Винарска визба „Велвин„ДООЕЛ	(46.3144754, 11.0480288)	46.3144754	11.0480288
Велес	29-13335/2	ДПТУ Шато Сопот ДОО, Скопје	(46.3144754, 11.0480288)	46.3144754	11.0480288
Велес	29-6501/2	ДПТУ"Изворно" ДООЕЛ	(46.3144754, 11.0480288)	46.3144754	11.0480288
Гевгелија	08-5874/2	"РИГО ИМПЕКС" ДОО-Скопје,	(41.1388664, 22.5033192)	41.1388664	22.5033192
Гевгелија	08-5713/2	ДПТУ"КЕРЕМ"ДОО	(46.3144754, 11.0480288)	46.3144754	11.0480288
Гевгелија	29-6539/2	ДПТУ"РИЕКС" ДООЕЛ с.Моин Гевгелија подружница РИВИН с.Моин Гевгелија	(46.3144754, 11.0480288)	46.3144754	11.0480288
Градско	"08-5353/2Уп I бр.16-1238/17"	"СТОБИ" ДООЕЛ	(41.5745778, 21.9531031)	41.5745778	21.9531031
Демир Капија	08-5714/2	"ДПП  "" Винарска Визба"" ПОПОВА КУЛА""АД Демир Капија"	(41.4087136, 22.2418571)	41.4087136	22.2418571
Демир Капија	08-5419/2	ДТП  "ФИЛЕ" ДОО	(46.3144754, 11.0480288)	46.3144754	11.0480288
Демир Капија	Уп I бр.16-1363/16	"Друштво за производство, трговија и услуги ГАМА ВИНЕРИ ДООЕЛ Гевгелија Подружница Винарија Гама ДемирКапија"	(46.3144754, 11.0480288)	46.3144754	11.0480288
Кавадарци	08-5541/2	ДПТУ КМС "МАЛЕРИЧ" експорт -импорт, ДООЕЛ  Неготино, подружница винарска визба КМС Малерич, с.Марена, Кавадарци	(41.4332802, 22.0122593)	41.4332802	22.0122593
Кавадарци	"08-5740/2Уп I бр.16-1259/17 (овластено лице)"	"ТИКВЕШ"- АД	(46.3144754, 11.0480288)	46.3144754	11.0480288
Кавадарци	08-5934/2	ДТПУ "ЕРОС-ТРЕЈД" ДООЕЛ	(46.3144754, 11.0480288)	46.3144754	11.0480288
Кавадарци	08-5835/2	ДППУ "ВИНАРИЈА ПОПОВ" ДООЕЛ	(46.3144754, 11.0480288)	46.3144754	11.0480288
Кавадарци	08-5418/2	ДПТТ "ВИНАРИЈА ИЛИЈЕВИ" ДОО	(46.3144754, 11.0480288)	46.3144754	11.0480288
Кавадарци	08-5868/3	ДПТУ "ДОНОВ" ДОО	(46.3144754, 11.0480288)	46.3144754	11.0480288
Кавадарци	08-5933/3	ВВ "ЃИ-ЕМ-ЕН "	(46.3144754, 11.0480288)	46.3144754	11.0480288
Кавадарци	"08-5540/3 промена на податоци Уп I бр.16-1881/16"	Друштво за транспорт, производство, трговија и услуги ПЕЦА КОМЕРЦ ДООЕЛ увоз-извоз Кавадарци - Подружница ВИНАРСКА ВИЗБА ТЕМОВ Кавадарци	(46.3144754, 11.0480288)	46.3144754	11.0480288
Кавадарци	08-5643/2	"ДПТУ ""ПИТ-КОМ""ДОО Неготино Подружница Вина"	(46.3144754, 11.0480288)	46.3144754	11.0480288
Кавадарци	08-5884/2	"ДПТУ„Агора-21""Трајче ДООЕЛ Неготино,Подружница Илија Велјанов- СЛАВИН,Кавадрци"	(46.3144754, 11.0480288)	46.3144754	11.0480288
Кавадарци	"Уп I бр. 29-1038/15 промена Уп I бр.16- 2157/16"	"Друштво за производство и дистрибуција на вино МОВИНО ДОО Скопје-Подружница ВИНАРСКА ВИЗБА РОСОМАН КО Рибарци"	(46.3144754, 11.0480288)	46.3144754	11.0480288
Кавадарци	08-5710/4	ДПТГУ "ЛЕТПРОМ Летка" ДООЕЛ	(46.3144754, 11.0480288)	46.3144754	11.0480288
Кавадарци	Уп I бр. 16-1295/17	ТЕКСТИЛ Акционерско друштво за промет на стоки и усуги на големо и мало Скопје	(46.3144754, 11.0480288)	46.3144754	11.0480288
Кавадарци	29-16769/2	Винарска Визба Милев ГД Тиквеш експорт-импорт ДООЕЛ Кавадарци	(46.3144754, 11.0480288)	46.3144754	11.0480288
Кавадарци	Уп I бр.29-607/14	"Друштво за производтство,трговија,услуги и транспорт НИКОЛОВ КОМПАНИ 2014 ДООЕЛ увоз-извоз Кавадарци"	(46.3144754, 11.0480288)	46.3144754	11.0480288
Кавадарци	"29-18517/2 Уп I бр.29-534/14"	"ДПТ ""ПОВАРДАРИЕ-АНЕВСКИ"" ДООЕЛ Штип"	(46.3144754, 11.0480288)	46.3144754	11.0480288
Кавадарци	Уп I бр.16-1330/17	Друштво за производство и трговија со грозје, вино и останати алкохолни и безалкохолни пијалоци БАРОВО ДООЕЛ Скопје	(46.3144754, 11.0480288)	46.3144754	11.0480288
Кавадарци	Уп I бр.16-1369/16	Друштво за производство и трговија Винарска Визба ЛАЗАР ДООЕЛ	(46.3144754, 11.0480288)	46.3144754	11.0480288
Кратово	08-5883/2	"ЗЕМСИЛ-РИК СИЛЕКС" АД.ДООЕЛ	(42.079261, 22.1802182)	42.079261	22.1802182
Куманово	"08-5987/3 Уп I бр. 29-619/14"	ДПТУ "ЃОРГО-КОМЕРЦ" - ДООЕЛ	(42.1359459, 21.7177635)	42.1359459	21.7177635
Куманово	29-9729/3	ДПУ "ВИНАР НИПРО" ДООЕЛ	(46.3144754, 11.0480288)	46.3144754	11.0480288
Куманово	Уп I бр.29-571/14	Акционерско друштво за земјоделие, индустрија и кооперација ГРАДИШТЕ увоз-извоз, Куманово	(46.3144754, 11.0480288)	46.3144754	11.0480288
Куманово	29-9601/3	"ДПТУ„ВИНАРИЈА ТРИЧКОВИЌ„ ДООЕЛ Куманово"	(46.3144754, 11.0480288)	46.3144754	11.0480288
Неготино	08-5888/2	ДПТУ" ВИНАРИЈА САРАФОВ" ДООЕЛ	(41.4832929, 22.0879051)	41.4832929	22.0879051
Неготино	"08-5552/2 29-5733/2"	ДПТУ "ДУДИН " ДООЕЛ	(46.3144754, 11.0480288)	46.3144754	11.0480288
Неготино	08-5615/2	ДПП "БОВИН"ДООЕЛ	(46.3144754, 11.0480288)	46.3144754	11.0480288
Неготино	08-5704/3	ДПТУ "ЗОИ -Унион" ДОО Кавадарци	(46.3144754, 11.0480288)	46.3144754	11.0480288
Неготино	"08-5810/2 Уп I бр. 29-515/14"	" ВЕНЕЦ "АД	(46.3144754, 11.0480288)	46.3144754	11.0480288
Неготино	08-5504/2	ДПТУ "ПИВКА 2002"-ДОО	(46.3144754, 11.0480288)	46.3144754	11.0480288
Неготино	08-6002/3	ДПУТ Вардарска Долина Андон ДООЕЛ експорт-импорт с.Курија Неготино	(46.3144754, 11.0480288)	46.3144754	11.0480288
Неготино	"29-6246/2 Уп I бр.29-1301/15"	ДПТУ Антигона Парк ДООЕЛ Подружница бр.3 винарија Антигона, Неготино	(46.3144754, 11.0480288)	46.3144754	11.0480288
Неготино	29-18369/2	ДПТ на вино,ракија,оцет и останати алкохолни и безалкохолни пијалоци ЛЕПОВО ДООЕЛ Скопје	(46.3144754, 11.0480288)	46.3144754	11.0480288
Неготино	Уп I бр.29-1398/15	"Друштво за производтство,трговија и услуги ВИНАРИЈА РИСТОВ ДООЕЛ увоз-извоз Неготино"	(46.3144754, 11.0480288)	46.3144754	11.0480288
Неготино	Уп I бр.16-1384/16	Друштво за производство на вино и пијалоци Пуклавец & Пријатели експорт- импорт ДООЕЛ	(46.3144754, 11.0480288)	46.3144754	11.0480288
Охрид	"08-5789/229-6036/2 Уп I бр.29-541/14 Уп I бр.16-501/17"	ТДПТУ "Винарија Охрид" Доо	(41.1170203, 20.8017387)	41.1170203	20.8017387
Охрид	Уп I бр.16-313/16	Будимир Соколовиќ	(46.3144754, 11.0480288)	46.3144754	11.0480288
Прилеп	08-5903/2	ТД "ПИРГАН" ДООЕЛ	(41.3444984, 21.5527115)	41.3444984	21.5527115
Радовиш	"29-12801/3 Уп I бр.29-756/14"	ДПУТ увоз-извоз ВИНАСА ДОО	(41.639832, 22.4645893)	41.639832	22.4645893
Свети Николе "29-8770/229-5962/3 Уп I бр.16-1473/16 Уп I бр.16-1289/17"	ДПТУ "ВИНЕКС"	(41.8647339, 21.9420506)	41.8647339	21.9420506
Скопје	08-5758/2	"СКОВИН" АД СКОПЈЕ	(41.9961816, 21.4319213)	41.9961816	21.4319213
Скопје	"08-5478/2 промена Уп I бр.16-1647/16"	ДПТ" КАРТАЛ ВИНО"експорт-импорт ДООЕЛ	(46.3144754, 11.0480288)	46.3144754	11.0480288
Скопје	08-9608/2	"БОРД-ЛАЈФ" ДООЕЛ	(46.3144754, 11.0480288)	46.3144754	11.0480288
Скопје	08-5946/3	ТД "ДИВИНО" ДОО	(46.3144754, 11.0480288)	46.3144754	11.0480288
Скопје	29-368/2	ТДГМ "МИКЕИ -ИНТЕРНАЦИОНАЛ" ДООЕЛ	(46.3144754, 11.0480288)	46.3144754	11.0480288
Скопје	29-5553/2	ДППУ "БРУШАНИ" експорт импорт ДОО Скопје	(46.3144754, 11.0480288)	46.3144754	11.0480288
Скопје	29-17900/2	"ДЗПТУ ""ВИНАРИЈА БРЗАНОВ"" ДОО увоз-извоз Скопје"	(46.3144754, 11.0480288)	46.3144754	11.0480288
Скопје	29-6038/2	ДПТУ "ВИНАР" ДОО Скопје	(46.3144754, 11.0480288)	46.3144754	11.0480288
Скопје	Уп I бр.29-1054/15	"ДПТУ МОТОР ОИЛ ДООЕЛ Скопје Подружница КУВИН ВИНАРИЈА Скопје"	(46.3144754, 11.0480288)	46.3144754	11.0480288
Скопје	Уп I бр.16-1029/16	ДУТУ Еуромац Хотели увоз-извоз ДООЕЛ Скопје	(46.3144754, 11.0480288)	46.3144754	11.0480288
Струмица	08-5873/3	ДППТ"ДАЛВИНА"-ДООЕЛ	(41.4392045, 22.6397203)	41.4392045	22.6397203
Струмица	08-5978/2	АД" СТРУМИЧКО ПОЛЕ"	(46.3144754, 11.0480288)	46.3144754	11.0480288
Струга	08-5819/2	ДПТУ„КМ - Вин Винарија ДООЕЛ„ с.Вевчани Вевчани	(41.1770278, 20.6790586)	41.1770278	20.6790586
Штип	08-5797/2	"ИМАКО ВИНО"ДООЕЛ	(41.7374724, 22.1935856)	41.7374724	22.1935856
Штип	Уп I бр.29-901/15	Винарска визба Имако Вино Ексклузив ДОО увоз-извоз Штип	(46.3144754, 11.0480288)	46.3144754	11.0480288
Штип	"08-5641/2 Уп I бр.29-1361/15 Уп I бр.16-1292/17"	ДПТП"Аневски Винерија" ДООЕЛ	(46.3144754, 11.0480288)	46.3144754	11.0480288
Штип	29-8004/4	ДПТУ Еко-Биофорум ДОО Штип подружница винарска визба ДИОН	(46.3144754, 11.0480288)	46.3144754	11.0480288
Штип	29-6994/2	ДПТУ"ЕЗИМИТ ВИНО "-ДОО	(46.3144754, 11.0480288)	46.3144754	11.0480288
Штип	29-3248/2	ДПТ"ЕЗИМИТ ГРУП" ДООЕЛ увоз-извоз	(46.3144754, 11.0480288)	46.3144754	11.0480288
Штип		"ДПТ""ЕЗИМИТ ГРУП"" ДООЕЛ увоз-извоз Штип Подружница Лозово"	(46.3144754, 11.0480288)	46.3144754	11.0480288



